date,region,course,off,race_name,race_type,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2023-01-04,GB,Kempton (AW),8:00,Try Our New Price Boosts At Unibet Handicap,Flat,0-70,4yo+,,7f,7f,1408,Standard To Slow,11,6,11,8,9.25,0.75,Lost In Time (GB),6,G,132,b,1:28.58,88.58,29.00,Charlie Bennett,Dean Ivory,,67,50,Dubawi (IRE),Reunite (IRE),Kingmambo,K T Ivory,Prominent on outer - pressed leader from 4f out - pushed along from over 2f out - weakened and lost position from over 1f out - dropped to last inside final furlong(op 25/1)
2023-01-04,GB,Kempton (AW),6:30,Unibet 3 Uniboosts A Day Handicap (London Sprint Series Qualifier),Flat,0-70,4yo+,,6f,6f,1207,Standard To Slow,9,6,1,5,0,0,Libra Tiger (GB),4,G,133,,1:14.05,74.05,3.75,Tom Marquand,Ed Walker,4187.20,68,79,Territories (IRE),Show Aya (IRE),Showcasing,S Al Ansari,Towards rear - pushed along and headway from over 2f out - prominent 1f out - ridden and kept on final 110yds - led towards finish - all out(tchd 16/5)
2023-01-04,GB,Kempton (AW),6:30,Unibet 3 Uniboosts A Day Handicap (London Sprint Series Qualifier),Flat,0-70,4yo+,,6f,6f,1207,Standard To Slow,9,9,2,8,0.3,0.3,Bezzas Lad (IRE),6,G,127,,1:14.11,74.11,41.00,Luke Morris,Tony Carroll,1964.80,62,69,Society Rock (IRE),Red Rosanna GB,Bertolini,Khdrp,Took keen hold - led - pushed along from 2f out - ridden when hard pressed from over 1f out - no extra and headed towards finish(op 25/1)
2023-01-04,GB,Kempton (AW),6:30,Unibet 3 Uniboosts A Day Handicap (London Sprint Series Qualifier),Flat,0-70,4yo+,,6f,6f,1207,Standard To Slow,9,10,3,1,1,0.75,Winnetka (IRE),6,G,124,,1:14.25,74.25,5.00,Mollie Phillips,Tony Carroll,981.60,62,67,Camacho (GB),Little Audio (IRE),Shamardal,International Racing Club Molony Racing,Took keen hold - prominent - pressed leader from over 2f out - ridden when made strong challenge from over 1f out - no extra final 110yds(op 5/1)
2023-01-04,GB,Kempton (AW),6:30,Unibet 3 Uniboosts A Day Handicap (London Sprint Series Qualifier),Flat,0-70,4yo+,,6f,6f,1207,Standard To Slow,9,2,4,7,2.25,1.25,Swiss Pride (IRE),7,G,137,p,1:14.50,74.50,4.20,Jack Mitchell,Roger Teal,491.20,72,73,Swiss Spirit (GB),Encore Encore (FR),Royal Applause,The Idle Bs Sue Teal,Prominent - pressed leader from 3f out - pushed along from over 2f out - ridden and no extra from over 1f out(op 10/3)
2023-01-04,GB,Kempton (AW),6:30,Unibet 3 Uniboosts A Day Handicap (London Sprint Series Qualifier),Flat,0-70,4yo+,,6f,6f,1207,Standard To Slow,9,7,5,3,3.75,1.5,Sir Gregory (FR),5,G,127,,1:14.80,74.80,4.00,Frederick Larson,Michael Appleby,244.80,65,61,Equiano (FR),Tegara GB,Hard Spun,B M Pallets Ltd,In touch with leaders - going okay when prominent over 2f out - soon pushed along - ridden and no extra from over 1f out(op 11/4 tchd 5/2)
2023-01-04,GB,Kempton (AW),6:30,Unibet 3 Uniboosts A Day Handicap (London Sprint Series Qualifier),Flat,0-70,4yo+,,6f,6f,1207,Standard To Slow,9,8,6,10,4.5,0.75,King Of Speed (IRE),4,G,122,,1:14.95,74.95,19.00,Billy Loughnane,Mark Loughnane,,64,58,Acclamation (GB),Music And Dance GB,Galileo,Ben Parish Clare Loughnane,Took keen hold - in touch with leaders on outer - pushed along 2f out - ridden and no extra from over 1f out(op 16/1)
2023-01-04,GB,Kempton (AW),6:30,Unibet 3 Uniboosts A Day Handicap (London Sprint Series Qualifier),Flat,0-70,4yo+,,6f,6f,1207,Standard To Slow,9,1,7,4,6,1.5,Makinitup (IRE),5,M,137,t,1:15.25,75.25,17.00,Rossa Ryan,Stuart Williams,,72,61,Marcel (IRE),Waterways (IRE),Alhaarth,Stuart C Williams,In touch with leaders - pushed along from over 2f out - soon some headway - ridden when weakened inside final furlong(tchd 14/1 and tchd 18/1)
2023-01-04,GB,Kempton (AW),6:30,Unibet 3 Uniboosts A Day Handicap (London Sprint Series Qualifier),Flat,0-70,4yo+,,6f,6f,1207,Standard To Slow,9,3,8,6,6.75,0.75,Huddleton Mac (IRE),5,G,134,t,1:15.40,75.40,23.00,William Carson,Charlie Wallis,,69,56,Awtaad (IRE),Melodique (FR),Falco,J Goddard A Bangs,Steadied start - took keen hold - in rear - shaken up on outer 2f out - outpaced from over 1f out - soon ridden and drifted right - made no impression(tchd 20/1)
2023-01-04,GB,Kempton (AW),6:30,Unibet 3 Uniboosts A Day Handicap (London Sprint Series Qualifier),Flat,0-70,4yo+,,6f,6f,1207,Standard To Slow,9,4,9,2,9,2.25,Kodiac Sign (IRE),4,C,129,,1:15.85,75.85,51.00,Jordan Williams,David Evans,,69,48,Kodiac (GB),Querulous (USA),Ravens Pass,Trevor Gallienne,Took keen hold - in rear - shaken up and no impression from 2f out (jockey said colt ran too free)
2023-01-04,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Sprint Series Qualifier),Flat,0-75,3yo,,6f,6f,1207,Standard To Slow,9,9,1,7,0,0,Expert Agent (GB),3,G,129,p,1:14.06,74.06,6.00,Jack Mitchell,Kevin Philippart De Foy,4187.20,69,81,Expert Eye (GB),Oeuvre DArt (IRE),Marju,Peter Gleeson,Dwelt start - travelled strongly - in rear - shaken up and headway from 2f out - soon prominent towards far side - pushed along when led against far rail 1f out - pushed out and won going away - readily(op 4/1)
2023-01-04,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Sprint Series Qualifier),Flat,0-75,3yo,,6f,6f,1207,Standard To Slow,9,6,2,2,2.5,2.5,Mogok Valley (IRE),3,C,130,,1:14.56,74.56,6.00,Lewis Edmunds,William Muir & Chris Grassick,1964.80,70,72,Zoffany (IRE),Dreaming Of Rubies GB,Oasis Dream,Muir Racing Partnership   Windsor,In touch with leaders - going okay and prominent when waiting for room 2f out - soon switched right and headway - pushed along when switched left 1f out - ridden inside final furlong - kept on well and went second inside final 110yds - no match for winner(op 6/1 tchd 4/1)
2023-01-04,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Sprint Series Qualifier),Flat,0-75,3yo,,6f,6f,1207,Standard To Slow,9,3,3,3,3.25,0.75,Erosion Risk (IRE),3,G,129,,1:14.71,74.71,8.50,Jordan Williams,David Evans,981.60,74,74,Dandy Man (IRE),Kadesh (IRE),Shamardal,Rocbrook Racing Club,Took keen hold - led - pushed along from under 2f out - edged right over 1f out - ridden when headed 1f out - weakened inside final furlong - lost second inside final 110yds(op 13/2 tchd 6/1 and tchd 8/1)
2023-01-04,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Sprint Series Qualifier),Flat,0-75,3yo,,6f,6f,1207,Standard To Slow,9,8,4,4,3.75,0.5,Ignac Lamar (IRE),3,G,129,,1:14.81,74.81,6.50,Ross Coakley,Rod Millman,491.20,69,67,Dandy Man (IRE),Bratislava GB,Dr Fong,Crown Connoisseurs,Dwelt start - in touch with leaders - pushed along and some headway from 2f out - slightly hampered over 1f out - ridden when pressed leader 1f out - soon no extra(op 15/2)
2023-01-04,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Sprint Series Qualifier),Flat,0-75,3yo,,6f,6f,1207,Standard To Slow,9,7,5,1,4,0.2,Molly Valentine (IRE),3,F,130,,1:14.90,74.90,9.50,Charlie Bennett,Dean Ivory,244.80,70,67,Tamayuz (GB),Molly Dolly (IRE),Exceed And Excel,Heather Michael Yarrow,Prominent - going okay when pressed leader from under 3f out - pushed along from 2f out - slightly hampered over 1f out - ridden and no extra inside final furlong(op 9/1 tchd 16/1)
2023-01-04,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Sprint Series Qualifier),Flat,0-75,3yo,,6f,6f,1207,Standard To Slow,9,4,6,8,5,1,Acai (IRE),3,G,133,p,1:15.06,75.06,10.00,Rossa Ryan,Clive Cox,,73,67,Kodi Bear (IRE),Dazzling Valentine GB,Oratorio,Saeed Bin Mohammed Al Qassimi,Towards rear - nudged along soon after start - reminder 5f out - soon pushed along - switched left and on outer from under 2f out - kept on but not pace to challenge (jockey said gelding hung right-handed throughout)(op 8/1 tchd 7/1 and tchd 10/1)
2023-01-04,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Sprint Series Qualifier),Flat,0-75,3yo,,6f,6f,1207,Standard To Slow,9,1,7,5,7.75,2.75,Hobson Point (GB),3,C,136,p,1:15.61,75.61,5.50,David Probert,Marco Botti,,76,61,Oasis Dream (GB),Catalina Bay (IRE),Pastoral Pursuits,Manfredini Partner,Ducked right start - in touch with leaders - on outer from over 2f out - soon pushed along - ridden and weakened gradually from over 1f out(tchd 5/1)
2023-01-04,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Sprint Series Qualifier),Flat,0-75,3yo,,6f,6f,1207,Standard To Slow,9,2,8,6,12,4.25,Corinthian Kid (IRE),3,F,135,,1:16.46,76.46,13.00,Rob Hornby,Jonathan Portman,,75,47,Kodi Bear (IRE),Columbia Kid (IRE),Big Bad Bob,Old Stoic Racing Club Partner,Took keen hold - pressed leader - pushed along from over 2f out - soon ridden and weakened(op 20/1)
2023-01-04,GB,Kempton (AW),7:00,Unibet Extra Place Offers Every Day Handicap (London Sprint Series Qualifier),Flat,0-75,3yo,,6f,6f,1207,Standard To Slow,9,5,9,9,17,5,Galaxy Gazer (GB),3,F,133,h,1:17.46,77.46,11.00,Tom Queally,James Tate,,73,29,Iffraaj (GB),Twinkle Twinkle GB,Exceed And Excel,Saeed Manana,Raced freely - prominent on outer - pushed along and lost ground from under 2f out - soon dropped to rear and beaten(op 15/2 tchd 11/1)
2023-01-04,GB,Kempton (AW),6:00,Try Our New Price Boost At Unibet Fillies Novice Stakes (GBB Race),Flat,,3yo+,F,1m,8f,1609,Standard To Slow,11,11,1,7,0,0,Twirling (IRE),3,F,122,,1:42.63,102.63,4.00,Jack Mitchell,Simon & Ed Crisford,3780,–,80,Churchill (IRE),Turning Top (IRE),Pivotal,Mrs Doreen Tabor,Pressed leader - lost ground but prominent over 5f out - pressed leader again on outer over 2f out - pushed along from over 1f out - ridden 1f out - kept on well to lead towards finish(op 9/4)
2023-01-04,GB,Kempton (AW),6:00,Try Our New Price Boost At Unibet Fillies Novice Stakes (GBB Race),Flat,,3yo+,F,1m,8f,1609,Standard To Slow,11,9,2,6,0.5,0.5,Star Guest (GB),3,F,122,,1:42.73,102.73,2.00,Tom Marquand,Charlie Appleby,1774.50,–,79,Dubawi (IRE),Usherette (IRE),Shamardal,Godolphin,Took keen hold - led - pushed along from 2f out - ridden when hard pressed inside final furlong - headed and no extra towards finish(op 5/4)
2023-01-04,GB,Kempton (AW),6:00,Try Our New Price Boost At Unibet Fillies Novice Stakes (GBB Race),Flat,,3yo+,F,1m,8f,1609,Standard To Slow,11,5,3,3,3,2.5,Alice Knyvet (GB),3,F,122,,1:43.23,103.23,9.00,David Probert,Harry & Roger Charlton,887.60,–,71,Acclamation (GB),Battlement GB,Dansili,Juddmonte,Prominent - pushed along and pressed leader from 2f out - weakened gradually inside final furlong
2023-01-04,GB,Kempton (AW),6:00,Try Our New Price Boost At Unibet Fillies Novice Stakes (GBB Race),Flat,,3yo+,F,1m,8f,1609,Standard To Slow,11,8,4,9,6.25,3.25,Sapphire Seas (GB),3,F,122,,1:43.88,103.88,4.00,Hollie Doyle,Charlie Appleby,443.80,–,61,Frankel (GB),Pure Diamond GB,Street Cry,Godolphin,Slowly into stride - in rear - pushed along and lost ground soon after start - joined main group after 2f - ran green over 4f out - soon slightly detached - switched left and headway up the centre from under 2f out - kept on well inside final furlong (jockey said filly was slowly away and ran green)(op 11/4 tchd 16/5)
2023-01-04,GB,Kempton (AW),6:00,Try Our New Price Boost At Unibet Fillies Novice Stakes (GBB Race),Flat,,3yo+,F,1m,8f,1609,Standard To Slow,11,6,5,8,7,0.75,Olympic Quest (GB),3,F,122,,1:44.03,104.03,51.00,John Fahy,Clive Cox,,–,59,Australia (GB),Olympic Runner GB,Exceed And Excel,J C Smith,Took keen hold - prominent - lost ground but in touch with leaders 6f out - towards rear under 3f out - soon shaken up and some headway - prominent over 1f out - no extra inside final furlong (jockey said filly ran too free)(op 40/1)
2023-01-04,GB,Kempton (AW),6:00,Try Our New Price Boost At Unibet Fillies Novice Stakes (GBB Race),Flat,,3yo+,F,1m,8f,1609,Standard To Slow,11,4,6,4,8,1,Screaming Leeagale (GB),4,F,142,,1:44.23,104.23,67.00,Luke Morris,Ian Williams,,–,60,Australia (GB),Julia Dream GB,Montjeu,The Albatross Club,Dwelt start - in rear - shaken up and outpaced soon after start - joined main group after 2f - in touch with leaders from under 4f out - ridden and weakened gradually from over 1f out(op 80/1 tchd 100/1)
2023-01-04,GB,Kempton (AW),6:00,Try Our New Price Boost At Unibet Fillies Novice Stakes (GBB Race),Flat,,3yo+,F,1m,8f,1609,Standard To Slow,11,3,7,10,9.25,1.25,Hosana (IRE),4,F,142,,1:44.48,104.48,51.00,Rob Hornby,Ralph Beckett,,–,56,Acclamation (GB),Chantrea (IRE),Dansili,Anthony Rogers Mrs Sonia Rogers,Prominent - raced wide early - pressed leader on outer from 6f out - pushed along and weakened from under 2f out - soon held
2023-01-04,GB,Kempton (AW),6:00,Try Our New Price Boost At Unibet Fillies Novice Stakes (GBB Race),Flat,,3yo+,F,1m,8f,1609,Standard To Slow,11,1,8,5,10.25,1,Brazen Girl (GB),4,F,142,,1:44.68,104.68,101.00,Darragh Keenan,John Butler,,–,53,Brazen Beau (AUS),Easter Diva (IRE),Dansili,Kevin Quinn,Took keen hold - towards rear - on outer from over 6f out - shaken up and ran green from over 2f out - kept on but never dangerous (jockey said filly ran too free early)
2023-01-04,GB,Kempton (AW),6:00,Try Our New Price Boost At Unibet Fillies Novice Stakes (GBB Race),Flat,,3yo+,F,1m,8f,1609,Standard To Slow,11,2,9,1,11.5,1.25,Cherwell (GB),4,F,142,,1:44.93,104.93,101.00,Charles Bishop,Eve Johnson Houghton,,–,50,Cityscape (GB),Golden Waters GB,Dubai Destination,R F Johnson Houghton,Took keen hold - in touch with leaders - pushed along from under 2f out - soon weakened(op 66/1 tchd 125/1)
2023-01-04,GB,Kempton (AW),6:00,Try Our New Price Boost At Unibet Fillies Novice Stakes (GBB Race),Flat,,3yo+,F,1m,8f,1609,Standard To Slow,11,10,10,11,13.25,1.75,Taswara (GB),3,F,122,,1:45.28,105.28,201.00,William Cox,Clive Cox,,–,40,Tasleet (GB),Timarwa (IRE),Daylami,S R Hope S W Barrow,In touch with leaders - raced wide early - prominent on outer from 6f out - pushed along from under 3f out - soon lost ground - ridden and no impression from 2f out(op 150/1)
2023-01-04,GB,Kempton (AW),6:00,Try Our New Price Boost At Unibet Fillies Novice Stakes (GBB Race),Flat,,3yo+,F,1m,8f,1609,Standard To Slow,11,7,11,2,24.25,11,Quiet Smile (GB),3,F,119,,1:47.48,107.48,251.00,Ben Sanderson,Ian Williams,,–,7,War Command (USA),Glee Club GB,Kyllachy,Miss K J Keir,Took keen hold - towards rear - shaken up and outpaced 2f out - held when eased final 110yds(op 150/1 tchd 400/1)
2023-01-04,GB,Kempton (AW),8:30,Racing TV Classified Stakes,Flat,0-50,4yo+,,1m3f,11f,2212,Standard To Slow,12,6,1,10,0,0,Tinchoo (GB),5,M,130,,2:27.11,147.11,11.00,Joshua Bryan,Heather Main,3140.40,46,58,Adaay (IRE),Tinshu (IRE),Fantastic Light,Llewelyn Runeckles,Disputed lead - lost position and in touch with leaders after 1f - pushed along when pressed leader 2f out - led 1f out - soon ridden - kept on and always doing enough(op 9/1 tchd 17/2)
2023-01-04,GB,Kempton (AW),8:30,Racing TV Classified Stakes,Flat,0-50,4yo+,,1m3f,11f,2212,Standard To Slow,12,1,2,6,0.75,0.75,Cendrillon (GB),5,M,130,h,2:27.26,147.26,5.00,Hayley Turner,Matt Crawley,1473.60,49,57,Bobbys Kitten (USA),Midnight Ransom GB,Red Ransom,Ms Sara Humber,Took keen hold - disputed lead - prominent after 1f - pushed along from under 3f out - soon switched left and on outer - pressed leader from 2f out - lost ground 1f out - ridden and rallied inside final furlong - kept on and went second post(tchd 9/2)
2023-01-04,GB,Kempton (AW),8:30,Racing TV Classified Stakes,Flat,0-50,4yo+,,1m3f,11f,2212,Standard To Slow,12,5,3,5,0.75,0.05,Sicario (IRE),8,G,130,v,2:27.26,147.26,2.25,Tom Marquand,Michael Appleby,736.20,50,57,Thewayyouare (USA),Blessed Beauty (IRE),Alhaarth,John Joseph Gerrard,Took keen hold - disputed lead - prominent after 1f - pushed along over 2f out - led narrowly over 1f out - soon ridden and headed - no extra final 110yds - lost second post(op 11/8 tchd 6/4)
2023-01-04,GB,Kempton (AW),8:30,Racing TV Classified Stakes,Flat,0-50,4yo+,,1m3f,11f,2212,Standard To Slow,12,8,4,8,2.5,1.75,Chelsea Annie (IRE),4,F,123,,2:27.61,147.61,41.00,Elisha Whittington,Neil Mulholland,368.40,49,54,Mehmas (IRE),Miss Sally (IRE),Danetime,Dajam Ltd,Towards rear - hampered after 2f - on outer from 3f out - soon pushed along - headway from 2f out - soon ridden - kept on well inside final furlong(op 33/1)
2023-01-04,GB,Kempton (AW),8:30,Racing TV Classified Stakes,Flat,0-50,4yo+,,1m3f,11f,2212,Standard To Slow,12,12,5,4,4.5,2,Three Dons (IRE),4,G,128,,2:28.01,148.01,6.50,Clifford Lee,Tony Carroll,183.60,48,50,Fast Company (IRE),Avizare (IRE),Lawman,Khdrp,Took keen hold - in touch with leaders - edged right after 2f - going okay when prominent over 2f out - switched right and towards far side under 2f out - ridden over 1f out - soon weakened gradually(op 9/2)
2023-01-04,GB,Kempton (AW),8:30,Racing TV Classified Stakes,Flat,0-50,4yo+,,1m3f,11f,2212,Standard To Slow,12,2,6,13,4.75,0.3,My Lady Claire (GB),7,M,130,v,2:28.06,148.06,34.00,David Probert,Patrick Chamings,,46,50,Cityscape (GB),Lady Sylvia GB,Haafhd,The Foxford House Partnership,Towards rear - shaken up soon after start - headway and pressed leader on outer after 1f - pushed along when led narrowly 2f out - ridden when headed over 1f out - weakened inside final furlong
